Company,TypeName,Ram,OpSys,Weight,TouchScreen,IPS,PPI,CPU_name,HDD,SSD,Gpu brand
HP,Notebook,8,Windows,2.1,False,False,141.21199808219862,Intel Core i5,1000,0,Intel
Dell,Gaming,16,Windows,4.42,False,True,127.33567457123111,Intel Core i7,1000,256,Nvidia
Acer,Notebook,8,Windows,2.2,False,False,141.21199808219862,Intel Core i7,0,256,Nvidia
Dell,Notebook,16,Windows,2.3,True,False,141.21199808219862,Intel Core i7,1000,0,AMD
Asus,Notebook,8,Windows,2.0,False,False,141.21199808219862,Intel Core i5,0,256,Nvidia
Asus,Notebook,8,Windows,2.69,False,False,127.33567457123111,Intel Core i5,500,256,Nvidia
HP,Notebook,8,Windows,1.9,False,False,141.21199808219862,Intel Core i7,1000,0,AMD
Asus,Notebook,4,Windows,2.37,False,False,100.45466986113651,Intel Core i3,1000,0,Intel
HP,Notebook,4,Windows,2.1,False,False,100.45466986113651,AMD Processor,500,0,AMD
Lenovo,Gaming,16,Windows,3.2,False,True,141.21199808219862,Intel Core i7,1000,256,Nvidia
Dell,Notebook,8,Windows,1.6,False,False,157.3505121487356,Intel Core i5,0,256,Intel
Acer,2 in 1 Convertible,8,Windows,1.6,True,True,165.6321180513006,Intel Core i5,0,256,Intel
Dell,Notebook,16,Other,2.36,False,False,141.21199808219862,Intel Core i7,0,256,AMD
Acer,Notebook,4,Other,2.1,False,False,100.45466986113651,Intel Core i3,1000,0,Intel
Asus,Notebook,4,Windows,2.2,False,False,141.21199808219862,AMD Processor,1000,128,AMD
Asus,Gaming,32,Windows,4.7,False,False,127.33567457123111,Intel Core i7,1000,512,Nvidia
Acer,Gaming,8,Windows,2.5,False,True,141.21199808219862,Intel Core i5,0,256,Nvidia
Lenovo,Notebook,8,Windows,2.2,False,False,100.45466986113651,Intel Core i3,0,128,Intel
Asus,Notebook,8,Windows,2.1,False,False,127.33567457123111,Intel Core i7,1000,128,Nvidia
Asus,Notebook,8,Other,2.69,False,False,127.33567457123111,Intel Core i7,1000,128,Nvidia
Dell,Gaming,8,Windows,2.56,False,False,141.21199808219862,Intel Core i5,0,256,Nvidia
Lenovo,2 in 1 Convertible,8,Windows,1.38,True,True,158.48253022174808,Intel Core i7,0,256,Intel
Dell,Notebook,8,Windows,2.2,False,False,141.21199808219862,Intel Core i7,2000,128,AMD
HP,Notebook,8,Windows,2.04,True,False,100.45466986113651,Intel Core i5,1000,0,Intel
Asus,Gaming,16,Windows,3.6,False,False,127.33567457123111,Intel Core i7,0,256,Nvidia
HP,Notebook,4,Windows,1.49,False,True,165.6321180513006,Intel Core i5,500,0,Intel
Apple,Ultrabook,8,Mac,1.37,False,True,226.98300468106115,Intel Core i5,0,512,Intel
Dell,2 in 1 Convertible,8,Windows,2.08,True,True,141.21199808219862,Intel Core i7,1000,0,Intel
Asus,Gaming,16,Windows,4.3,False,False,127.33567457123111,Intel Core i7,1000,256,Nvidia
Asus,Notebook,4,Windows,1.68,False,False,100.45466986113651,AMD Processor,1000,0,AMD
Lenovo,2 in 1 Convertible,8,Windows,1.37,True,True,158.48253022174808,Intel Core i7,0,512,Intel
Acer,Notebook,4,Windows,3.0,False,True,127.33567457123111,Intel Core i3,0,256,Nvidia
Dell,Ultrabook,8,Windows,1.41,False,False,165.6321180513006,Intel Core i5,0,256,Intel
HP,Notebook,8,Windows,1.91,False,False,100.45466986113651,AMD Processor,0,128,AMD
HP,Notebook,16,Windows,2.9,False,True,127.33567457123111,Intel Core i7,1000,0,Nvidia
MSI,Gaming,16,Windows,4.14,False,False,127.33567457123111,Intel Core i7,1000,512,Nvidia
Lenovo,2 in 1 Convertible,8,Windows,2.0,True,True,141.21199808219862,Intel Core i7,0,512,Nvidia
Dell,Notebook,8,Windows,2.8,False,False,127.33567457123111,Intel Core i7,1000,128,AMD
Lenovo,Notebook,4,Other,2.2,False,False,141.21199808219862,Intel Core i3,0,256,Intel
HP,Notebook,4,Windows,2.1,False,True,141.21199808219862,Intel Core i5,500,0,Intel
Dell,Notebook,4,Windows,2.18,False,False,141.21199808219862,Intel Core i5,1000,0,Intel
Dell,Notebook,8,Windows,2.24,False,False,141.21199808219862,Intel Core i5,1000,0,AMD
Dell,2 in 1 Convertible,8,Windows,2.67,True,False,141.21199808219862,Intel Core i5,0,256,Intel
Asus,2 in 1 Convertible,8,Windows,1.1,True,False,165.6321180513006,Intel Core i7,0,1024,Intel
Lenovo,Notebook,4,Other,2.2,False,False,141.21199808219862,Intel Core i5,1000,0,Intel
HP,Notebook,8,Windows,2.5,False,False,127.33567457123111,Intel Core i7,1000,0,Nvidia
Lenovo,Notebook,8,Windows,2.05,False,False,141.21199808219862,Intel Core i7,0,256,Intel
Apple,Ultrabook,8,Mac,1.37,False,True,226.98300468106115,Intel Core i5,0,512,Intel
Asus,Gaming,16,Windows,3.2,False,False,127.33567457123111,AMD Processor,1000,256,AMD
Dell,Notebook,8,Other,2.14,False,False,141.21199808219862,Intel Core i7,0,256,AMD
Lenovo,2 in 1 Convertible,16,Windows,1.36,True,False,209.8006828649808,Intel Core i7,0,512,Intel
Toshiba,Notebook,8,Windows,2.2,False,False,100.45466986113651,Intel Core i7,500,0,Nvidia
Dell,Notebook,12,Windows,2.3,False,False,100.45466986113651,Intel Core i7,1000,0,Intel
Dell,Notebook,8,Other,2.8,False,False,127.33567457123111,Intel Core i7,1000,128,AMD
Acer,Notebook,8,Windows,2.2,False,True,141.21199808219862,Intel Core i7,1000,0,Nvidia
Lenovo,Notebook,4,Windows,2.8,False,False,106.11306214269258,Intel Core i3,1000,0,Intel
Lenovo,Notebook,8,Other,2.8,False,False,127.33567457123111,Intel Core i7,2000,0,Nvidia
Lenovo,Notebook,6,Windows,2.8,False,False,106.11306214269258,Intel Core i7,1000,128,Nvidia
